ion_id,frame,ionic_force,ionic_force_magnitude,ionic_motion_component,cosine_ionic_motion,radial_force,axial_force,motion_vector,contributing_ion,contrib_force,contrib_magnitude,contrib_distance,contrib_cosine_with_motion,contrib_motion_component,contrib_before_closest_residue,contrib_closest_residue,contrib_next_closest_residue
1320,5400,"[-0.5166961327195168, -0.3420741856098175, -3.6341108083724976]",3.686563577311224,2.799045007488103,0.7592558622112715,0.6196689777840458,-3.6341108083724976,"[2.126842498779297, 1.966888427734375, -4.8167266845703125]",1469,"[0.791297435760498, 0.621355414390564, -2.222032308578491]",2.439192771911621,11.666645050048828,0.9925530638026502,2.4210283372276784,1105,1105,1105
1320,5400,"[-0.5166961327195168, -0.3420741856098175, -3.6341108083724976]",3.686563577311224,2.799045007488103,0.7592558622112715,0.6196689777840458,-3.6341108083724976,"[2.126842498779297, 1.966888427734375, -4.8167266845703125]",1306,"[-1.1405926942825317, 0.7522609829902649, -1.6077313423156738]",2.1098928451538086,12.54408073425293,0.5732048678398108,1.2094009217026755,780,780,780
1320,5400,"[-0.5166961327195168, -0.3420741856098175, -3.6341108083724976]",3.686563577311224,2.799045007488103,0.7592558622112715,0.6196689777840458,-3.6341108083724976,"[2.126842498779297, 1.966888427734375, -4.8167266845703125]",1309,"[-0.17910051345825195, -1.473112940788269, -1.4012798070907593]",2.0410103797912598,12.753999710083008,0.3025805488274198,0.617570074798163,130,130,455
1320,5400,"[-0.5166961327195168, -0.3420741856098175, -3.6341108083724976]",3.686563577311224,2.799045007488103,0.7592558622112715,0.6196689777840458,-3.6341108083724976,"[2.126842498779297, 1.966888427734375, -4.8167266845703125]",1403,"[0.01169963926076889, -0.24257764220237732, 1.5969326496124268]",1.6152939796447754,14.336503982543945,-0.8970221043838721,-1.4489544161418593,,,
1309,5677,"[-0.5429822094738483, 0.7323366552591324, -13.132537484169006]",13.164144006715562,13.055130525549263,0.9917189084903139,0.9116724501931796,-13.132537484169006,"[0.7129707336425781, 0.1672515869140625, -8.642417907714844]",1380,"[0.2080385684967041, -0.2713145911693573, -4.193719387054443]",4.207633018493652,8.882804870605469,0.9959551528948135,4.190613588897197,,,
1309,5677,"[-0.5429822094738483, 0.7323366552591324, -13.132537484169006]",13.164144006715562,13.055130525549263,0.9917189084903139,0.9116724501931796,-13.132537484169006,"[0.7129707336425781, 0.1672515869140625, -8.642417907714844]",1476,"[0.016993116587400436, -0.13155724108219147, -1.6357070207595825]",1.641076922416687,14.223437309265137,0.9924739774005474,1.6287261604187653,,,
1309,5677,"[-0.5429822094738483, 0.7323366552591324, -13.132537484169006]",13.164144006715562,13.055130525549263,0.9917189084903139,0.9116724501931796,-13.132537484169006,"[0.7129707336425781, 0.1672515869140625, -8.642417907714844]",2443,"[2.2294209003448486, 1.050384759902954, -2.2944509983062744]",3.3672142028808594,9.929643630981445,0.739417123606328,2.4897757954743494,1105,1105,1105
1309,5677,"[-0.5429822094738483, 0.7323366552591324, -13.132537484169006]",13.164144006715562,13.055130525549263,0.9917189084903139,0.9116724501931796,-13.132537484169006,"[0.7129707336425781, 0.1672515869140625, -8.642417907714844]",1469,"[-2.146965980529785, 2.0441834926605225, -3.3131890296936035]",4.445826053619385,8.641572952270508,0.7117443378488206,3.1642916264383114,780,780,780
1309,5677,"[-0.5429822094738483, 0.7323366552591324, -13.132537484169006]",13.164144006715562,13.055130525549263,0.9917189084903139,0.9116724501931796,-13.132537484169006,"[0.7129707336425781, 0.1672515869140625, -8.642417907714844]",2434,"[-0.8504688143730164, -1.9593597650527954, -1.6954710483551025]",2.727088212966919,11.033656120300293,0.5800045390704807,1.5817235257638274,455,455,455
1403,5331,"[-0.8413608223199844, 1.3609232306480408, -7.492941617965698]",7.661864927241597,6.197000074719476,0.8088109270480839,1.6000000228288938,-7.492941617965698,"[2.7154808044433594, -0.8539695739746094, -5.8134613037109375]",1469,"[-0.1614212542772293, -0.08120483160018921, -1.773813009262085]",1.7829928398132324,13.645649909973145,0.8615170809308654,1.5360788279912971,,,
